Branch,Address,Tel
울산달동점,울산광역시 남구 왕생로 27 1층(달동) ,052-257-8277 
양산증산점,경남 양산시 물금읍 새실로 159 나래메트로시티 D동 116호(가촌리 1280-4) ,055-381-5879 
울산야음점,울산광역시 남구 신선로 65번길 5(야음동) ,052-265-5849 
양산석산점,경남 양산시 동면 금오 14길 15-20 1층(석산리) ,055-913-3390 
덕계평산점,경남 양산시 평산동 104-6번지 103호 ,055-387-5849 
남악신도시점,전남 무안군 삼향읍 남악리 2182 우솔빌딩 1층 ,061-282-2453 
목포용해점,전남 목포시 연산백련로 25-1(연산동) ,061-279-5849 
경남고성점,경상남도 고성군 고성읍 동외로151번길 7 ,055-674-7776 
목포하당점,전남 목포시 상동 1139번지 기흥빌딩 ,061-285-5849 
목포북항점,전남 목포시 원산중앙로7 진프라자 110호(산정동) ,061-272-0111 
부산화명점,"부산광역시 북구 금곡대로 285번길62, 103호(스카이타워)(화명동) ",051-363-5849 
부산정관점,부산시 기장군 정관면 매학리 714-11(정관읍) ,051-727-9773 
울산일산점,울산광역시 동구 해수욕장길 4 ,052-236-5556 
영암삼호점,전남 영암군 삼호읍 용앙리 315-37 ,061-461-5849 
부산구서점,부산광역시 금정구 수림로 66번길 101(구서동) ,051-515-6467 
여수웅천점,전라남도 여수시 예울마루로 37-26  114-1호 ,061-692-4826 
여수여서점,전남 여수시 문수동 190-1 ,061-654-5849 
부산신모라점,부산시 사상구 모라동 1361번지 동원아파트 상가 ,051-322-7721 
부산대점,부산광역시 금정구 장전동 420-6 ,051-515-5849 
부산미남로터리점,부산시 동래구 온천동 1424-12 더리체 1층 ,051-505-5849 
부산명장점,부산광역시 동래구 명장동 321-26 ,051-529-5849 
여수돌산점,전라남도 여수시 돌산읍 강남8길 34 ,061-644-5849 
부산주례점,부산시 사상구 주례동 55-173 ,051-322-5849 
부산시청점,부산광역시 연제구 연산동 1499-21 ,051-867-5849 
부산안락점,부산광역시 동래구 안락동 468-54 ,051-916-4936 
부산명지오션시티점,부산광역시 강서구 명지동 3254-10번지  ,051-206-5849 
부산일광신도시점,부산광역시 기장군 일광면 삼성리 840-4 ,051-711-5849 
부산반여점,부산시 해운대구 반여동 1441-53 ,051-527-5849 
부산하단점,부산광역시 사하구 하단동 527-4 ,051-294-0116 
부산서면점,부산시 부산진구 부전동 232-14 ,051-818-5849 
전남강진점,전남 강진군 강진읍 남성리 5-11 ,061-433-5892 
부산수영점,부산광역시 수영구 광안동 50-6 ,051-755-5849 
부산해운대장산점,부산광역시 해운대구 세실로95 ,051-704-9288 
거제중곡점,경상남도 거제시 중곡로3길 22 ,055-635-9002 
해남점,전남 해남군 해남읍 해리 361-2 ,061-537-5849 
거제아주동점,경남 거제시 아주동 1688-10 ,055-681-8682 
거제장승포점,경남 거제시 능포동 624-2 ,055-681-5853 
제주삼화점,제주특별자치도 제주시 화북일동 1023-4 ,064-722-5849 
제주이도점,제주특별자치도 제주시 승천로72(아라이동) ,064-723-5849 
전주송천점,전북 전주시 덕진구 송천동2가 523-14 ,063-255-5849 
